gene_name	gene_id
Nphs1	ENSMUSG00000006649
Psenen	ENSMUSG00000036835
Kmt2b	ENSMUSG00000006307
Cox6b1	ENSMUSG00000036751
Rbm42	ENSMUSG00000036733
Haus5	ENSMUSG00000078762
Tmem147	ENSMUSG00000006315
Usf2	ENSMUSG00000058239
Lsr	ENSMUSG00000001247
Hpn	ENSMUSG00000001249
Gramd1a	ENSMUSG00000001248
Pdcd2l	ENSMUSG00000002635
Gpi1	ENSMUSG00000036427
Pepd	ENSMUSG00000063931
Cebpg	ENSMUSG00000056216
Gpatch1	ENSMUSG00000063808
Rhpn2	ENSMUSG00000030494
Ankrd27	ENSMUSG00000034867
Pdcd5	ENSMUSG00000030417
Dpy19l3	ENSMUSG00000043671
Zfp507	ENSMUSG00000044452
Ccne1	ENSMUSG00000002068
Pop4	ENSMUSG00000030423
Zfp788	ENSMUSG00000074165
Etfb	ENSMUSG00000004610
Zfp719	ENSMUSG00000030469
Klk8	ENSMUSG00000064023
Josd2	ENSMUSG00000038695
Emc10	ENSMUSG00000008140
Pold1	ENSMUSG00000038644
Nr1h2	ENSMUSG00000060601
Ap2a1	ENSMUSG00000060279
Rps11	ENSMUSG00000003429
Rpl13a	ENSMUSG00000074129
Tead2	ENSMUSG00000030796
Snrnp70	ENSMUSG00000063511
Gys1	ENSMUSG00000003865
Ftl1	ENSMUSG00000050708
Bax	ENSMUSG00000003873
Dhdh	ENSMUSG00000011382
Nucb1	ENSMUSG00000030824
Ppp1r15a	ENSMUSG00000040435
Bcat2	ENSMUSG00000030826
Rasip1	ENSMUSG00000044562
Sphk2	ENSMUSG00000057342
Kdelr1	ENSMUSG00000002778
Nomo1	ENSMUSG00000030835
Saal1	ENSMUSG00000006763
Hps5	ENSMUSG00000014418
Gtf2h1	ENSMUSG00000006599
Ldha	ENSMUSG00000063229
Tsg101	ENSMUSG00000014402
Uevld	ENSMUSG00000043262
Zdhhc13	ENSMUSG00000030471
E2f8	ENSMUSG00000046179
Prmt3	ENSMUSG00000030505
Tubgcp5	ENSMUSG00000033790
Nipa2	ENSMUSG00000030452
Herc2	ENSMUSG00000030451
Ube3a	ENSMUSG00000025326
Klf13	ENSMUSG00000052040
Mphosph10	ENSMUSG00000030521
Mcee	ENSMUSG00000033429
Tjp1	ENSMUSG00000030516
Chsy1	ENSMUSG00000032640
Asb7	ENSMUSG00000030509
Mef2a	ENSMUSG00000030557
Lrrc28	ENSMUSG00000030556
Igf1r	ENSMUSG00000005533
Arrdc4	ENSMUSG00000042659
Rgma	ENSMUSG00000070509
Akap13	ENSMUSG00000066406
Klhl25	ENSMUSG00000055652
Mrpl46	ENSMUSG00000030612
Mrps11	ENSMUSG00000030611
